name	@lat	@lon
Skarszewy	54.0717523	18.4459951
Kościerzyna	54.1210215	17.9781656
Kartuzy	54.3342281	18.1973639
Starogard Gdański	53.9671805	18.5321130
Chojnice	53.6952912	17.5614973
Krosno Odrzańskie	52.0536361	15.0980258
Słubice	52.3557481	14.5662367
Wolin	53.8437880	14.6157008
Kamień Pomorski	53.9653947	14.7728556
Piaseczno	52.0747377	21.0270885
Tarnowskie Góry	50.4445194	18.8554757
Zgierz	51.8559434	19.4056443
Piątek	52.0689883	19.4799726
Tczew	54.0869532	18.8000293
Człuchów	53.6651462	17.3588324
Tuchola	53.5880901	17.8590414
Władysławowo	54.7901316	18.4087342
Jastarnia	54.7027640	18.6712892
Łeba	54.7585207	17.5554170
Hrubieszów	50.8047363	23.8873816
Skarżysko-Kamienna	51.1138821	20.8578830
Ustka	54.5811254	16.8612962
Tychowo	53.9286600	16.2566800
Trzebiatów	54.0627026	15.2657157
Szczecinek	53.7080210	16.6943922
Sławno	54.3629824	16.6789071
Polanów	54.1192100	16.6872500
Mielno	54.2560766	16.0520587
Miastko	54.0001478	16.9774717
Kępice	54.2427792	16.8896705
Darłowo	54.4224900	16.4093300
Czarne	53.6835300	16.9422100
Biały Bór	53.8987414	16.8377275
Białogard	54.0064367	15.9870974
Węgorzewo	54.2138162	21.7416569
Sępopol	54.2647160	21.0146462
Sejny	54.1057250	23.3496591
Ryn	53.9386839	21.5440643
Reszel	54.0482576	21.1421611
Rajgród	53.7304739	22.6976173
Pieniężno	54.2385662	20.1258163
Orzysz	53.8098330	21.9473601
Olecko	54.0398024	22.4934246
Mrągowo	53.8660707	21.3045796
Miłakowo	54.0101675	20.0711213
Mikołajki	53.7981816	21.5772462
Lidzbark Warmiński	54.1259406	20.5805641
Korsze	54.1707614	21.1442323
Kętrzyn	54.0764176	21.3752627
Jeziorany	53.9768604	20.7459137
Górowo Iławeckie	54.2842481	20.4916449
Gołdap	54.3080218	22.3018802
Giżycko	54.0400920	21.7713092
Dobre Miasto	53.9868899	20.3973402
Bisztynek	54.0866828	20.9088280
Biskupiec	53.8688000	20.9551800
Bartoszyce	54.2523708	20.8143702
Barczewo	53.8297112	20.6911497
Zalewo	53.8458768	19.6061180
Wejherowo	54.6026348	18.2479340
Tolkmicko	54.3201802	19.5270187
Sztum	53.9198663	19.0305384
Susz	53.7166619	19.3385289
Skórcz	53.7945500	18.5243200
Rumia	54.5700148	18.3969008
Reda	54.6043272	18.3505191
Puck	54.7203995	18.4113380
Pruszcz Gdański	54.2608539	18.6461908
Prabuty	53.7559950	19.2044449
Pelplin	53.9283217	18.6978494
Pasłęk	54.0626346	19.6565365
Ostróda	53.7028533	19.9623028
Nowy Staw	54.1342754	19.0086861
Nowy Dwór Gdański	54.2146299	19.1150846
Młynary	54.1876231	19.7229376
Miłomłyn	53.7634000	19.8413501
Lębork	54.5391501	17.7472272
Kwidzyn	53.7335842	18.9319222
Krynica Morska	54.3800071	19.4433631
Gniew	53.8342221	18.8251596
Frombork	54.3583633	19.6823701
Dzierzgoń	53.9239051	19.3479491
Czersk	53.7961960	17.9756228
Czarna Woda	53.8441983	18.0984293
Brusy	53.8861557	17.7190437
Zabłudów	53.0147671	23.3379526
Wielbark	53.3984244	20.9462724
Wasilków	53.1986840	23.2056777
Tykocin	53.2076460	22.7730188
Szczytno	53.5654890	20.9915890
Supraśl	53.2100391	23.3360728
Suchowola	53.5785570	23.1058224
Stawiski	53.3798382	22.1548937
Sokółka	53.4049183	23.4995562
Pisz	53.6294943	21.8098191
Olsztynek	53.5834201	20.2816198
Nowogród	53.2280804	21.8797908
Nidzica	53.3613838	20.4275719
Myszyniec	53.3831962	21.3420723
Mońki	53.4065738	22.7983772
Mława	53.1116182	20.3831732
Michałowo	53.0328933	23.6066858
Krynki	53.2644419	23.7726182
Kolno	53.4109383	21.9312439
Knyszyn	53.3122442	22.9200387
Jedwabne	53.2867308	22.3021413
Goniądz	53.4892220	22.7323721
Działdowo	53.2346517	20.1817841
Czarna Białostocka	53.2982835	23.2851013
Chorzele	53.2610476	20.8978631
Choroszcz	53.1439250	22.9884588
Biała Piska	53.6113625	22.0581433
Żuromin	53.0671703	19.9078353
Złotów	53.3631938	17.0346940
Wysoka	53.1829333	17.0797137
Wyrzysk	53.1569822	17.2627004
Wałcz	53.2697450	16.4670655
Wąbrzeźno	53.2799665	18.9472930
Tuczno	53.1944190	16.1548235
Trzcianka	53.0417582	16.4610993
Szubin	53.0117503	17.7439402
Szamocin	53.0290045	17.1217202
Świecie	53.4072518	18.4455253
Borne Sulinowo	53.5812939	16.5381170
Solec Kujawski	53.0791965	18.2246086
Sępólno Krajeńskie	53.4547434	17.5348373
